Fatty_Acid_Palmitic,Fatty_Acid_Oleic,Peroxide_Value,Free_Fatty_Acid,Iodine_Value,Saponification_Value,Color_Index,Density,Viscosity,Class
42.48357077,41.60992254,5.497572428,2.620787498,53.43019646,194.1662296,3.406331742,0.914267583,71.07976647,Adulterated
39.30867849,41.37268713,2.442268722,2.890510009,56.9360444,194.0227022,8.004207795,0.915654279,98.59569824,Pure
43.23844269,30.63485462,2.005305636,0.191751098,69.40203529,203.6552482,2.112258138,0.880673639,98.22785081,Pure
47.61514928,42.35927847,2.319863691,3.585013679,65.61575692,206.5163383,7.027281589,0.895916239,47.42866887,Adulterated
38.82923313,50.86263265,9.160171057,3.59073208,55.65181665,204.3173322,7.423542427,0.89151678,37.16457212,Adulterated
38.82931522,34.80614305,1.723270462,0.665801898,61.27883539,202.9145563,3.378610288,0.903190771,71.32402666,Pure
47.89606408,53.38786121,5.716976249,2.894173268,58.08652246,208.3290354,5.30862443,0.884216635,59.39878257,Pure
43.83717365,48.90219857,11.54479583,2.884969794,59.79930353,191.1678476,10.09912179,0.891859483,83.31806991,Adulterated
37.65262807,39.12613342,5.120874331,3.444007059,57.10332383,193.3496617,2.632499591,0.89144543,66.95886077,Adulterated
42.71280022,43.8677629,11.68631308,0.518448691,55.58662037,198.2881371,5.779568174,0.900645248,65.74107642,Adulterated
37.68291154,57.78657446,11.43653853,3.169866206,63.49526083,197.4490329,11.26006378,0.903114344,75.25219078,Adulterated
37.67135123,50.86838251,4.441579857,1.475684559,65.5708363,198.3610321,6.545198205,0.891873421,38.84929114,Pure
41.20981136,45.07026924,11.20351052,2.584314653,67.47914245,194.1290981,8.97647083,0.892479816,77.40132108,Adulterated
30.43359878,43.09853346,11.46887294,3.889285408,53.10659935,192.9900663,10.09552644,0.89451796,64.19637905,Adulterated
31.37541084,45.61287256,6.564354959,3.557665088,66.45711047,200.1838649,3.241518123,0.922931028,87.41029459,Adulterated
37.18856235,40.90589154,3.945886772,0.682624787,55.09601649,208.5610505,3.400389591,0.855400044,39.70947836,Pure
34.9358444,28.16200395,8.297791296,2.996805457,58.5467278,197.8393892,9.344506017,0.870606407,51.05229344,Pure
41.57123666,61.33742328,13.89956623,4.848671002,68.02887372,190.8670643,9.28637412,0.903473592,96.51724618,Adulterated
35.45987962,46.24259999,9.954634254,0.868170243,59.09007202,204.1233469,1.662016527,0.895395688,68.71510155,Pure
32.93848149,48.18517812,3.420914967,4.27924473,53.94127068,195.8220981,4.547480648,0.895254991,95.05106998,Adulterated
47.32824384,44.536738,10.55859695,3.542485595,53.1973731,194.9019001,5.383857411,0.90334991,78.23245722,Adulterated
38.8711185,39.11906559,6.980842382,3.892616233,59.45967533,196.48516,10.11944444,0.894279858,94.85019555,Adulterated
40.33764102,43.51260415,9.281403163,1.481595803,65.25344848,204.4763105,5.64048481,0.87881435,52.24783991,Pure
32.87625907,32.2048419,11.27689649,1.510655754,69.94410288,206.3763877,11.18521779,0.902576183,36.33736309,Adulterated
37.27808638,63.21669198,8.209262921,4.539495333,65.74817257,201.7611213,11.96268555,0.890417743,86.15692354,Adulterated
40.55461295,35.12390401,12.39577564,1.863176957,67.54023918,196.4495751,9.587987823,0.881048456,86.31281267,Adulterated
34.24503211,36.74426973,11.11017811,0.408775414,64.95664722,196.2095647,8.330253585,0.903807212,73.31787562,Adulterated
41.87849009,41.47792636,9.61102676,3.042923848,67.90870202,192.486167,5.310868826,0.903020677,70.56991422,Adulterated
36.99680655,55.3046058,3.111099422,0.711606578,51.52587087,208.666021,1.737433907,0.89429533,94.04357195,Adulterated
38.54153125,45.11607199,12.70328755,4.003321583,68.59863198,202.762788,7.30452632,0.924342383,42.35489269,Adulterated
36.99146694,35.11091363,14.10267819,3.244557568,57.92812307,190.5394924,4.978753961,0.916536535,73.157658,Pure
49.26139092,55.03470689,2.917511733,4.386159876,68.43228447,203.2473419,4.859878834,0.910037144,33.48394276,Adulterated
39.93251388,50.84800501,7.835375812,3.945702524,51.51465675,198.9430685,8.56480178,0.941327311,39.86054557,Adulterated
34.71144536,49.30747966,4.624442388,0.649356877,64.30485914,209.4511593,6.100032945,0.887070732,60.60906439,Pure
44.11272456,50.72587393,11.5633263,1.967246315,64.71377497,206.3813765,9.273032292,0.880703993,87.48451586,Adulterated
33.89578175,64.1548952,11.1028149,3.895345225,69.93821779,193.4263151,5.37990545,0.907207262,81.31928835,Adulterated
41.04431798,62.48075916,2.972391688,2.144973219,65.37710541,204.4022224,2.65949724,0.884947314,98.18450737,Pure
30.20164938,39.50627726,13.2783818,4.864590875,57.65147412,199.7113201,6.074822788,0.890238554,33.13940539,Adulterated
33.35906976,57.99107994,3.533622896,3.705128204,61.14497103,193.7409033,11.46113766,0.870281601,56.69465532,Adulterated
40.98430618,48.06534552,12.16162636,0.175949592,57.33101876,203.9747981,9.81677092,0.902133189,41.11535611,Adulterated
43.6923329,48.99276653,7.397725035,4.411929889,53.92037291,200.9477516,3.263241806,0.860579855,32.58728988,Adulterated
40.85684141,31.46183335,5.59581211,0.593943446,54.97004655,190.6074776,5.304305518,0.888071236,48.50782894,Adulterated
39.42175859,43.63691388,3.215349677,0.788566248,54.44021069,202.931759,11.20571305,0.889692885,47.11302909,Adulterated
38.49448152,38.49741128,3.346599586,3.699012763,60.9763066,202.6997418,2.360689646,0.881279223,59.40194029,Adulterated
32.60739005,51.62447052,10.26646777,4.338345941,68.12321269,192.8817032,3.793452661,0.854855705,39.80568455,Adulterated
36.40077896,53.568644,8.706025431,2.728113177,68.25453252,196.9797545,3.884449105,0.854707378,64.19973055,Pure
37.69680615,28.40410919,2.709195903,1.516343691,51.09527555,201.7179794,7.280261632,0.875076552,94.40688291,Adulterated
45.28561113,44.82372109,2.577770046,1.821446172,51.59798802,192.7756603,5.518066517,0.900781007,82.37322521,Adulterated
41.71809145,53.97489204,2.012348047,1.780157715,54.90238114,207.0544676,1.878577414,0.895778497,88.95241306,Adulterated
31.18479922,43.5065683,11.41274286,1.700722709,55.10118905,190.5497209,7.920996,0.889671293,86.33100153,Adulterated
41.62041985,50.83250916,10.96634919,1.290257392,51.8977835,192.0567483,2.08985651,0.87230823,57.27384355,Adulterated
38.0745886,47.80932374,1.818033872,3.083448764,57.76926682,192.3221384,7.670564252,0.896822644,79.62727254,Adulterated
36.61539,47.73328186,8.843781058,4.511986061,61.75450785,200.5621425,6.577092182,0.854019414,82.79793676,Adulterated
43.05838144,42.82948018,2.185466173,1.604703824,61.56324401,202.4022802,6.430355268,0.84206901,44.3953674,Pure
45.15499761,35.26735357,13.65244079,1.014802058,60.86859363,198.0748159,1.742458698,0.885138569,90.21836566,Adulterated
44.6564006,36.02775882,13.69964387,4.209030565,56.7734385,195.7733366,8.031424916,0.879078972,62.0423179,Adulterated
35.80391238,50.67482012,10.77526186,3.734738321,64.12911371,206.1863475,5.744522844,0.910263426,31.14518177,Adulterated
38.45393812,45.15566604,13.9666449,4.661101455,66.52967882,191.3657197,5.522167345,0.893159676,75.0368876,Adulterated
41.65631716,43.89190204,12.36034243,0.911046704,56.92548533,195.6058372,7.560965361,0.923014706,77.37341643,Adulterated
44.87772564,41.60887966,12.59954006,0.806831439,51.71070719,190.7823116,7.668728659,0.879035699,68.62336077,Adulterated
37.60412881,42.55848924,8.975909908,2.753004032,55.92660502,190.2778027,1.165366253,0.899735446,44.86907106,Pure
39.07170512,53.37529436,5.284828775,3.110724909,52.74737309,197.0675977,2.377484913,0.884954457,63.75946191,Adulterated
34.46832513,42.31804735,4.049187612,2.452849865,59.34717454,193.8964732,3.601700429,0.917634394,58.00892152,Pure
34.01896688,34.27148229,5.580800309,3.034936518,53.11870303,195.3673171,8.457750667,0.885918991,98.22802517,Adulterated
44.06262911,50.9492142,9.798936021,0.983860867,59.25689515,206.4189431,7.344152397,0.907088136,87.72749043,Pure
46.78120014,43.36098669,3.417191502,2.450107395,54.42005785,193.2596019,9.333920456,0.868447621,83.33297236,Adulterated
39.63994939,45.25116692,4.620963313,3.324653549,64.77462211,205.6046673,9.146685861,0.881695747,42.67515921,Adulterated
45.01766449,57.86062645,7.552852079,2.220261601,50.55136482,203.5010125,10.38501156,0.888319132,53.17280122,Adulterated
41.80818013,44.83551554,4.262701379,3.429291946,61.09492608,196.5289105,5.144963474,0.915268351,56.57982849,Adulterated
36.77440123,47.31346938,9.241011376,2.310837275,53.3897655,200.9311229,4.795702528,0.846056261,64.48392726,Adulterated
41.80697803,35.56861207,13.9244644,1.734637946,50.01983729,198.8887122,10.14116943,0.883347111,32.11571584,Adulterated
47.69018283,43.24264438,11.47325112,1.587664731,67.38400176,192.5679063,3.613616873,0.882670397,71.51064597,Pure
39.8208698,49.87620836,10.3299726,2.113420089,63.43055576,208.1437064,6.07289611,0.84846053,55.04995808,Adulterated
47.82321828,32.55701013,9.158100664,0.213139151,51.97885644,201.3923594,3.137582172,0.880719285,69.31740018,Adulterated
26.90127448,46.60676074,7.83127073,3.375773178,63.28144735,207.6048009,11.05224816,0.859186657,30.6284869,Adulterated
44.10951252,45.80632858,3.611894035,4.241017641,62.23294665,206.4765302,5.485833144,0.84338673,52.50031973,Adulterated
40.43523534,45.33029964,13.52594638,1.837672763,59.46713374,191.5955185,3.337355881,0.884753743,83.80662392,Adulterated
38.50496325,53.29727119,4.479504028,0.325562367,58.38516197,194.1454133,8.612147296,0.884077098,65.07570868,Pure
40.45880388,47.67550812,2.278324286,4.935200427,67.74139526,192.9052223,3.69109146,0.885100928,85.22211298,Adulterated
30.06215543,56.82457519,11.50021251,1.392121452,54.9029604,206.6155907,11.37853963,0.895057165,78.92722748,Adulterated
38.90164056,37.05128388,3.458617481,0.720443496,57.96620114,207.2489325,5.043787163,0.872412064,89.84444026,Pure
41.78556286,46.08739654,6.206543994,1.911787289,56.58230826,200.5594302,8.311047833,0.92581712,30.5210512,Pure
47.38947022,45.67573429,1.395988996,3.718929499,65.42402058,192.0835615,4.797694243,0.88933412,48.29278443,Adulterated
37.40864891,36.44596405,2.918951196,1.540191325,68.32930612,192.7123324,9.879701413,0.915728609,68.41612086,Pure
35.95753199,52.65036002,3.424850831,2.916045699,66.99563397,206.2709762,10.86615015,0.856402015,95.87126537,Pure
37.49121478,63.59738645,1.761741789,2.136243973,65.95407861,208.5838027,9.667101954,0.873309407,77.58531261,Pure
44.57701059,44.8639514,10.19319739,0.677043562,69.73579891,193.9895137,10.33348921,0.903726296,61.96121504,Adulterated
41.64375555,49.04016871,12.71810914,1.718406361,63.94289101,190.2227515,2.120689107,0.885468714,39.10989314,Adulterated
37.35119898,45.67614781,6.226415689,3.651865478,65.02107582,196.6190581,11.16471145,0.868536412,64.52507483,Adulterated
42.56633717,39.29132264,13.24407067,3.098819097,69.65605079,190.6099878,7.867308018,0.853227402,60.87608807,Adulterated
40.48538775,30.43391778,3.986852044,0.686914061,50.13981571,206.5594983,10.56139285,0.904664073,84.49102923,Adulterated
44.84322495,39.35381214,5.55546593,0.900279808,62.68096753,199.8302451,8.528804406,0.903032045,58.93440483,Pure
36.48973453,33.86433295,3.110317902,3.239593461,64.77943064,202.8372156,3.220324354,0.894866414,52.31866524,Pure
38.36168927,58.63281662,9.687828736,4.08573553,68.35654108,198.2296975,7.705106118,0.880081876,36.28037777,Adulterated
